"date_published","title","guid","provider"
"2019-05-22 18:56:56.115296+00","The Factor Structure of Mental Disorders in African American and European American Youths: Evidence of Invariance","bw2gy","PsyArXiv"
"2019-05-18 14:12:26.745818+00","Six Simple Reasons: Essentials of Basic Principles to Teaching (Natural) Science in Indonesia","ckzsg","Frenxiv"
"2019-05-18 16:07:45.847143+00","Holographic surface and Lorentz factor","g8tyb","Open Science Framework"
"2019-05-18 16:11:51.617999+00","Keterampilan Berbahasa Menyimak Film","5xp48","INA-Rxiv"
"2019-05-18 15:53:07.613053+00","SUPERVISI PEMBELAJARAN KEPALA MADRASAH DALAM MENINGKATKAN MUTU PEMBELAJARAN","gs2we","INA-Rxiv"
"2019-05-18 16:39:31.551049+00","Ade Yugha Nusastri_K1217001_Keterampilan Menulis Artikel Opini","xtqm6","INA-Rxiv"
"2019-05-18 16:49:06.930323+00","Action, time, holographic principle","p3rw5","Open Science Framework"
"2019-05-18 17:45:55.995778+00","MENINGKATKAN MUTU PENDIDIKAN ATAU MENJAMIN MUTU PENDIDIKAN  MELALUI SUPERVISI PENDIDIKAN UNTUK MENCAPAI KUALITAS PENDIDIKAN  NASIONAL","zt2rn","Open Science Framework"
"2019-05-18 16:53:41.021+00","Keterampilan Berbahasa : Membaca Sekilas","td5ry","INA-Rxiv"
"2019-05-14 22:38:55.557311+00","Optimism in close relationships: How seeing things in a positive light makes them so","fqgx5","PsyArXiv"
"2019-05-18 17:58:49.415648+00","Holographic integral subregion","76vpn","Open Science Framework"
"2019-05-24 12:49:22.099573+00","Groundwater representation in continental to global hydrologic models: a call for open and holistic evaluation, conceptualization and classification","zxyku","EarthArXiv"
"2019-05-25 10:29:02.936027+00","ANALISIS PEMBUATAN SIMULASI 3D VIRTUAL REALITY SEBAGAI MEDIA TERAPI ACHROPOBIA","pb2ua","INA-Rxiv"
"2019-05-25 12:34:36.993489+00","Model pengembangan ekonomi lokal (PEL) berbasis produktivitas kopi arabika spesialti di Kabupaten Simalungun","fra86","INA-Rxiv"
"2019-05-25 10:14:07.521137+00","Autism as a disorder of neural information processing: Directions for research and targets for therapy","u4ehk","PsyArXiv"
"2019-05-25 08:56:49.71046+00","Studi Analisis mengenai Pertalian Struktur Amsal 10:1-5 sebagai Peran Orang Tua dalam Pembentukan Karakter Anak","nf4e6","INA-Rxiv"
"2019-05-15 00:44:51.804781+00","Designing good deception: Recursive theory of mind in lying and lie detection","5s4wc","PsyArXiv"
"2019-05-18 18:03:48.860139+00","SUPERVISI KEPALA SEKOLAH UNTUK MENINGKATKAN PEMBELAJARAN GURU DI SEKOLAH","gwmk2","INA-Rxiv"
"2019-05-17 22:22:06.909948+00","Implementation Science: The Key to Translating Psychological Science to Classroom Practice in Higher Education","f5kds","PsyArXiv"
"2019-05-17 20:30:29.743705+00","Suicidal Ideation in Elite Schools: A Test of the Interpersonal Theory and the Escape Theory of Suicide","8nb5y","PsyArXiv"
"2019-05-18 18:40:00.519725+00","The ties between Hathor and the weaver girl（织女）","jp9wd","SocArXiv"
"2019-05-17 17:22:55.34488+00","Investigating the impact of status and context on workplace incivility.","xd69z","PsyArXiv"
"2019-05-22 23:30:07.904423+00","What is the meaning of the pullback Schwarzschild metric?","xq2bw","Open Science Framework"
"2019-05-24 15:27:04.221015+00","Gravity and wave function the space-time","dsg73","Open Science Framework"
"2019-05-25 10:38:36.508207+00","Perceptual identification task points to continuity between implicit memory and recall","g7r2z","PsyArXiv"
"2019-05-22 11:39:33.931899+00","Sentence structure and listening task affect the retuning of lexical-semantic representations","qvaud","PsyArXiv"
"2019-05-18 16:59:04.621822+00","Using spatial release from masking to estimate the magnitude of the familiar-voice intelligibility benefit","5bkr4","PsyArXiv"
"2019-05-18 00:42:47.518345+00","Do Bilingual Infants Possess Enhanced Cognitive Skills?","dcn7y","PsyArXiv"
"2019-05-17 18:59:56.132483+00","Why is ""me-search"" a Kiss of Death in mental health research","9svfa","PsyArXiv"
"2019-05-18 18:41:53.297414+00","Does austerity really kill?","b2t4x","SocArXiv"
"2019-05-17 14:09:51.392556+00","Social Reinforcement Learning as a Predictor of Real-Life Experiences in Individuals with High and Low Depressive Symptomatology","dq64x","PsyArXiv"
"2019-05-18 20:48:28.000383+00","SUPERVISI AKADEMIK DALAM UPAYA PENINGKATAN MOTIVASI GURU MENYUSUN PERANGKAT PERSIAPAN PEMBELAJARAN","hvew9","INA-Rxiv"
"2019-05-16 23:43:13.598647+00","Interpersonal Violence and Substance Use Among Female Sexual Minorities","yws4d","PsyArXiv"
"2019-05-19 02:00:55.875066+00","KETERAMPILAN BERBICARA: METODE EFEKTIF UNTUK MENINGKATKAN KETERAMPILAN BERBICARA DI DEPAN UMUM","xj4ny","INA-Rxiv"
"2019-05-19 03:54:22.934989+00","Bound holographic extreme surface","x2b7t","Open Science Framework"
"2019-05-19 06:50:34.185357+00","Meningkatkan Mutu dan Profesionalisme Guru","z4gw8","INA-Rxiv"
"2019-05-19 06:59:40.927967+00","Masalah Pendidikan dan Pemecahan Masalah Pendidikan","v368p","INA-Rxiv"
"2019-05-23 01:12:41.648596+00","The Platforms of Podcasting: Past and Present","4fcgu","MediArXiv"
"2019-05-23 02:43:11.67185+00","Pemanfaatan Arang Aktif Ampas Kopi sebagai Adsorben Kadmium pada Air Sumur","85ets","INA-Rxiv"
"2019-05-24 15:43:13.788137+00","Tradisi Lisan Nandong Simeulue: Pendekatan Antropolinguistik","kv47c","INA-Rxiv"
"2019-05-19 08:59:17.911862+00","Kompetensi Pengawasan Dalam Supervisi Akademik Pada SMP Di Kota Semarang","v8dze","Open Science Framework"
"2019-05-19 09:07:05.912249+00","Kompetensi pengawas dalam supervisi akademik pada SMP di Kota Semarang","qab26","INA-Rxiv"
"2019-05-18 13:10:00.868988+00","Cramer-Rao-type Bound and Stam's Inequality for Discrete Random Variables","h3cu8","Open Science Framework"
"2019-05-21 10:39:01.353382+00","Extracellular Tau and Glymphatic Influx in Sleep and Anesthesia","tcu8b","PsyArXiv"
"2019-05-23 04:33:30.099477+00","People are Sensitive to Problems in Communication","am9y2","PsyArXiv"
"2019-05-24 15:52:12.275666+00","Face Likeness Affects Face Learning","jkbrx","PsyArXiv"
"2019-05-19 15:05:55.812648+00","Artikel Administrasi Sarana dan Prasarana","adnc5","Open Science Framework"
"2019-05-19 15:16:11.42518+00","ỨNG DỤNG CÔNG CỤ SMARTPHONE TRONG GIÁM SÁT VÀ DỰ BÁO SỰ THAY ĐỔI NHIỆT ĐỘ TẠI THÀNH PHỐ HỒ CHÍ MINH NĂM 2019","tmcye","AgriXiv"
"2019-05-19 15:27:51.236746+00","A Commoner Said “This!” : High times, and last hours of a nobility.","6fhtm","Open Science Framework"
"2019-05-23 06:35:54.640281+00","An assessment of the wind influence in local inertial 1D hydrodynamic flow routing","59byn","EarthArXiv"
"2019-05-19 15:59:54.557102+00","Meningkatkan Keterampilan Berbicara Melalui Praktik Pembawa Acara : Public Speaking","9w2ay","INA-Rxiv"
"2019-05-14 21:32:36.025237+00","Reflection of the Crusading Movement in Rusian Sources:  Tantalizing Hints","ts2v5","BodoArXiv"
"2019-05-19 17:46:14.107572+00","The limits of far transfer in perceptual categorization","8vm2u","PsyArXiv"
"2019-05-23 06:37:25.252626+00","The influence of basin settings and flow properties on the dimensions of submarine lobe elements","sk8v3","EarthArXiv"
"2019-05-19 16:10:13.358972+00","Gravity extracts virtual particles from the quantum vacuum (Davies-Fulling-Unruh effect)","tq7m2","Open Science Framework"
"2019-05-19 16:47:01.316851+00","Meningkatkan Keterampilan Membaca Puisi dengan Metode ATM (Amati, Tiru,  Modifikasi)","4v2nj","INA-Rxiv"
"2019-05-19 18:39:37.412852+00","HUBUNGAN MOTIVASI BELAJAR DENGAN HASIL BELAJAR IPS DI SMP KABUPATEN BOGOR","eqczf","INA-Rxiv"
"2019-05-19 18:46:24.493133+00","ASOSIATIF LAYANAN TENAGA PERPUSTAKAAN SEKOLAH DENGAN MOTIVASI MEMBACA SISWA DI KABUPATEN BOGOR","qvg6d","INA-Rxiv"
"2019-05-19 12:55:23.96051+00","The prevalence of loot boxes in mobile and desktop games","mkhp2","PsyArXiv"
"2019-05-16 18:51:31.881227+00","A Patient-Centered Perspective on the Future of Tic Disorder Diagnosis: Response to “Tic disorders revisited: Introduction to the term ‘tic spectrum disorders” by Müller-Vahl et al.","egknj","PsyArXiv"
"2019-05-19 18:02:43.391939+00","Cultural Dimensions as Correlates of Favoritism and the Mediating Role of Trust","gmksr","PsyArXiv"
"2019-05-23 09:03:36.702806+00","Holographic function time","xam9v","Open Science Framework"
"2019-05-16 19:37:35.669465+00","Space and Memory (far) beyond the Hippocampus: Many Subcortical Structures also Support Cognitive Mapping and Mnemonic Processing","eaj83","PsyArXiv"
"2019-05-25 13:21:24.848843+00","KELOMPOK I","64fkm","Open Science Framework"
"2019-05-27 14:47:33.133696+00","KELOMPOK 5","ype3k","INA-Rxiv"
"2019-05-24 15:58:33.854164+00","The dark room problem in predictive processing and active inference, a legacy of cognitivism?","p4z8f","PsyArXiv"
"2019-05-22 06:11:34.984058+00","Japanese Meaning of Awe","nf78w","PsyArXiv"
"2019-05-27 04:25:27.5913+00","SUPERVISI AKADEMIK DALAM PENINGKATAN PROFESIONAL GURU","swmq3","INA-Rxiv"
"2019-05-27 17:15:43.159312+00","KONSEP ARSITEKTUR PANTI REHABILITASI KETERGANTUNGAN NARKOTIKA &amp; PSIKOTROPIKA DI MAKASSAR, PENDEKATAN ARSITEKTUR POSTMODERN HISTORISCM","e4gtu","INA-Rxiv"
"2019-05-28 01:38:09.794811+00","Pulau Kenawa Sebagai Destinasi Utama Sumbawa Barat","xc5sy","Open Science Framework"
"2019-05-27 10:17:11.939031+00","FUNDAMENTAL AND APPLIED SCIENTIFIC RESEARCH May 2019: сб.науч.тр./ OEAPS Inc.; редкол.: Флора Бертран (отв.ред.) [и др.]. - Берлин, Германия : OEAPS Inc., 2019. - 246 C.","4bkae","Open Science Framework"
"2019-05-28 07:40:46.276282+00","Teologi Injili dan Cakupanya","c6bmg","INA-Rxiv"
"2019-05-28 07:57:40.076598+00","Teologi Paulus dalam Surat Titus","nst95","INA-Rxiv"
"2019-05-16 17:52:14.39703+00","Vagal suppression moderates the relationship between psychological flexibility and observed parenting in combat deployed fathers","c8awh","PsyArXiv"
"2019-05-16 16:07:59.53314+00","Social Resonance: Acoustic Information about Upper Limb Movement in Voicing","ny39e","PsyArXiv"
"2019-05-19 23:30:40.211819+00","Manajemen Pendidikan Berbasis Multi Budaya","647wy","INA-Rxiv"
"2019-05-19 23:48:38.924978+00","Pentingnya Mempelajari Administrasi dan Supervisi Pendidikan","ufrh8","Open Science Framework"
"2019-05-20 00:27:54.189838+00","Pentingnya Mempelajari Administrasi dan Supervisi Pendidikan","mg97x","Open Science Framework"
"2019-05-20 00:45:32.902444+00","A Roadmap for Computational Communication Research","4dhfk","SocArXiv"
"2019-05-17 05:58:21.982314+00","Merawat Nilai Membangun Kota","z4h85","INA-Rxiv"
"2019-05-20 00:41:30.075425+00","Making Identity Count: UK 1960","n5ur2","SocArXiv"
"2019-05-20 02:47:23.438643+00","PENGEMBANGAN MODEL TAHAPAN DIGITAL FORENSIC UNTUK MENDUKUNG SERANG SEBAGAI KOTA BEBAS CYBERCRIME","4jnv7","INA-Rxiv"
"2019-05-24 16:36:45.463447+00","رِسَالَةٌ الْفِطْرِيَّة","amu6j","Open Science Framework"
"2019-05-22 07:08:45.975764+00","Humanoid co-workers: How is it like to work with a robot?","524nx","PsyArXiv"
"2019-05-27 05:20:07.275488+00","ADMINISTRASI SARANA DAN PRASARANA PENDIDIKAN","wy4zr","INA-Rxiv"
"2019-05-27 05:32:57.538765+00","KELOMPOK 7","984eb","INA-Rxiv"
"2019-05-27 05:40:58.52418+00","Pancasila Sebagai Paradigma Kehidupan dalam Masyarakat Berbangsa dan Bernegara","7xts6","INA-Rxiv"
"2019-05-27 10:19:53.542553+00","Mutual Exclusivity as a Special Case of Cross-Situational Statistical Learning: Non-Selectivity of Word-Object Associations","gwra9","Open Science Framework"
"2019-05-27 04:43:30.680388+00","ADMINISTRASI KURIKULUM","u52wn","INA-Rxiv"
"2019-05-16 16:47:40.776584+00","The Neural Representation of Mental Models Across Content Type:  A Common Spatial Structure","dweqh","PsyArXiv"
"2019-05-20 02:54:39.39192+00","STUDI KELAYAKAN GEDUNG PARKIR KOTA MAKASSAR 1","j36g9","Open Science Framework"
"2019-05-15 11:10:38.113909+00","We have the (1-b)!  Requirements in preregistrations and IRB proposals promote formal power analyses","b3uwd","PsyArXiv"
"2019-05-20 04:12:30.629398+00","IMPLEMENTASI SUPERVISI AKADEMIK KEPALA SEKOLAH UNTUK MENINGKATKAN KINERJA GURU","8n5be","INA-Rxiv"
"2019-05-20 04:42:09.52662+00","A Portal into Mémoires d'Hadrien","yc75k","Open Science Framework"
"2019-05-20 04:58:06.926154+00","Pentingnya Supervisi Pendidikan yang Baik untuk Menunjang Tujuan Pendidikan","83yuv","INA-Rxiv"
"2019-05-20 05:38:06.346444+00","SUPERVISI PENDIDIKAN DALAM UPAYA PENINGKATAN PROFESIONALITAS GURU MENDIDIK PESERTA DIDIK DALAM PEMBELAJARAN","z3m8y","Open Science Framework"
"2019-05-20 08:51:37.963825+00","Research Methods Information Technology","k4w8c","INA-Rxiv"
"2019-05-15 13:15:31.358824+00","Wisdom is a social-ecological rather than person-centric phenomenon","a7wxf","PsyArXiv"
"2019-05-16 15:31:42.869892+00","A gifted SNARC? Directional spatial-numerical associations in gifted children with high level math skills do not differ from controls","56qr8","PsyArXiv"
"2019-05-20 02:56:26.155705+00","Larger head displacement to optic flow presented in the lower visual field.","34j7g","PsyArXiv"
"2019-05-19 20:01:59.754714+00","Further support for the role of heroism in human mate choice","2npfm","PsyArXiv"
"2019-05-15 11:56:09.609943+00","Policies for tobacco and e-cigarette use: a survey of all higher education institutions and NHS Trusts in England","n6z3u","PsyArXiv"
"2019-05-20 03:48:31.159634+00","Implementasi program supervisi pendidikan disekolah SM3T diMentawai","jmzt2","INA-Rxiv"
"2019-05-20 04:19:12.888252+00","PENGARUH SUPERVISI KEPALA SEKOLAH DAN MOTIVASI KERJA GURU TERHADAP KEPUASAN KERJA GURU","uct53","INA-Rxiv"
"2019-05-20 04:32:01.004692+00","PENGARUH PELAKSANAAN SUPERVISI PENDIDIKAN TERHADAP KINERJA GURU DI SEKOLAH","gn5ra","INA-Rxiv"
"2019-05-20 05:00:21.326298+00","The influence of selection modality, display dynamics and error feedback on patterns of human foraging.","r4hek","PsyArXiv"
"2019-05-21 23:05:31.281651+00","Beneath the surface: community assembly and functions of the coral skeleton microbiome","9yjw8","EcoEvoRxiv"
"2019-05-23 12:20:30.177456+00","Predicting individual differences in conflict detection and bias susceptibility during reasoning","2uf6g","PsyArXiv"
"2019-05-23 11:19:14.326079+00","EAH pregnancy preprint","eg9uj","NutriXiv"
"2019-05-23 11:04:10.204591+00","Feature distinctiveness effects in language acquisition and lexical processing","p45gf","PsyArXiv"
"2019-05-23 10:38:15.299126+00","Developmental Trajectories of Event Centrality and Well-Being after Transition to High School","ct5zg","PsyArXiv"
"2019-05-20 06:54:23.607226+00","Mapping the predicted and potential impacts of metal mining and its mitigation measures in Arctic and boreal regions using environmental and social impact assessments: a systematic map protocol","a9sd3","Open Science Framework"
"2019-05-20 03:01:38.392182+00","PENGARUH SUPERVISI KEPALA SEKOLAH DAN MOTIVASI BERPRESTASI GURU TERHADAP KINERJA MENGAJAR GURU","7azuy","INA-Rxiv"
"2019-05-16 15:06:12.943563+00","What's new in Psychology? Open Science!","6aduy","PsyArXiv"
"2019-05-20 10:11:55.712146+00","PELAKSANAAN SUPERVISI AKADEMIK PENGAWAS SEKOLAH SEBAGAI UPAYA PENINGKATAN PROFESIONALISME GURU","r2tfa","INA-Rxiv"
"2019-05-15 05:03:43.305039+00","The impact of anecdotal information on medical decision-making","r5pmj","PsyArXiv"
"2019-05-20 10:29:37.124631+00","Associations of Loneliness and Social Isolation with Cardiovascular and Metabolic Health: a Systematic Review and Meta-analysis protocol","vfxs3","Open Science Framework"
"2019-05-20 11:52:09.807252+00","5 Months of Haskell : Programming languages as just other programs. Contribution toward a field of computer science education.","uqdpx","Open Science Framework"
"2019-05-20 09:22:46.672753+00","Estimating Time: Comparing the Accuracy of Estimation Methods for Interval Timing","pg7bs","PsyArXiv"
"2019-05-20 08:52:27.653375+00","Neural correlates of turn-taking in the wild: Response planning starts early in free interviews","duq4t","PsyArXiv"
"2019-05-20 12:49:49.606611+00","Effect of Tunnel Pit Radius Variation on the Electric Characteristics of Aluminum Electrolytic Capacitor","b3rme","ECSarXiv"
"2019-05-20 08:50:35.734776+00","Mapping the snack and drink landscape in a large UK hospital site","m3nwa","PsyArXiv"
"2019-05-20 12:50:29.984289+00","Dielectric Characteristics Analysis of Aluminum Electrolytic Capacitor Based on Linear Response Funcation_Slide_235th ECS","snvxb","ECSarXiv"
"2019-05-20 08:35:12.027628+00","Development and validation of the Eyewitness Metamemory Scale","mjfea","PsyArXiv"
"2019-05-23 13:27:24.027103+00","International economics: global competition and value chaim","3mafu","INA-Rxiv"
"2019-05-20 12:35:28.173174+00","On the relationship between limiting current and mass-transport impedance at zero frequency","9nf7g","ECSarXiv"
"2019-05-20 06:19:11.426763+00","Event conjunction: How the hippocampus integrates episodic memories across event boundaries","v47n2","PsyArXiv"
"2019-05-23 14:21:35.937103+00","YOGA IN SEDENTARY ADULTS ARTHRITIS: EFFECTS OF A RANDOMIZED CONTROLLED PRAGMATIC TRIAL","vru96","MindRxiv"
"2019-05-20 14:22:47.375836+00","Supervisi Akademik Dalam Peningkatan Profesional Guru","w74mc","INA-Rxiv"
"2019-05-20 14:26:36.832461+00","PENGARUH SUPERVISI AKADEMIK, KOMPETENSI GURU, DAN KEDISIPLINAN TERHADAP KINERJA GURU","e3kmu","INA-Rxiv"
"2019-05-20 15:08:06.078937+00","Kepemimpinan pendidikan","9u24j","Open Science Framework"
"2019-05-20 15:12:15.388679+00","Vision Perceptually Restores Auditory Spectral Dynamics in Speech","t954p","PsyArXiv"
"2019-05-20 15:33:29.175031+00","SUPERVISI AKADEMIK DALAM PENINGKATAN PROFESIONAL GURU","dreak","INA-Rxiv"
"2019-05-20 15:40:00.783393+00","PEMBERIAN HAK GUNA BANGUNAN DI ATAS TANAH HAK PENGELOLAAN PEMERINTAH KOTA SURABAYA KEPADA PIHAK KETIGA, Jurnal Liga Hukum Vol.9(2) 2017","sjfqv","Open Science Framework"
"2019-05-20 15:42:17.382766+00","Supervisi akademik dalam peningkatan profesional guru","ksbce","INA-Rxiv"
"2019-05-23 14:31:53.957371+00","Gamaliel Widya Susanto 130417010 International Economy","vfu7n","INA-Rxiv"
"2019-05-23 14:47:22.295918+00","Gamaliel Widya Susanto / International Economy","zqtx9","INA-Rxiv"
"2019-05-23 14:51:57.966909+00","Belief in Unconscious Repressed Memory Is Widespread:  A Comment on Brewin, Li, Ntarantana, Unsworth, and McNeilis (in press)","a4n7h","Open Science Framework"
"2019-05-20 16:19:48.023499+00","Perlunya Supervisi Pendidikan Dalam Pengembangan  Sumber Daya Guru","uy4ks","INA-Rxiv"
"2019-05-20 16:41:55.130674+00","Rules, Standards, and Such","n2kx3","LawArXiv"
"2019-05-20 17:03:17.025248+00","Misdemeanor Appeals","wrsq6","LawArXiv"
"2019-05-20 17:35:02.356208+00","ARTIKEL ADMINISTRASI SARANA DAN PRASARANA","ugsy5","Open Science Framework"
"2019-05-20 17:22:08.199994+00","Sustainable human behaviours for combating sixth mass extinction","r3wte","Open Science Framework"
"2019-05-20 16:37:34.778918+00","Gravity and Entanglement","23c7m","Open Science Framework"
"2019-05-20 16:25:02.676102+00","Gato por Liebre Estudio genético sobre sustitución de especies en el comercio de pescados en México","49wka","MarXiv"
"2019-05-20 19:10:59.16244+00","The face of control: Corrugator supercilii tracks aversive conflict signals in the service of adaptive cognitive control","3qah7","Open Science Framework"
"2019-05-20 15:24:08.775748+00","Phylogenetic Comparative Methods: Learning From Trees","e3xnr","EcoEvoRxiv"
"2019-05-20 20:21:57.058398+00","Disparate Treatment and Adverse Impact in Applied Attrition Modeling","p8msx","Open Science Framework"
"2019-05-20 22:39:54.559337+00","Materi IPS di Kelas Tinggi Semester II atau Semester Genap","x7p3s","Open Science Framework"
"2019-05-23 15:04:43.668732+00","Back to the Future: Democratic Responsiveness and the Estimation of Future Public Opinion","uskzq","Open Science Framework"
"2019-05-21 00:39:10.109531+00","SIMULASI ANTRIAN PELAYANAN PADA GARDU TOL BINJAI","a2jpy","INA-Rxiv"
"2019-05-20 20:45:10.424308+00","Data Descriptor: A longitudinal neuroimaging dataset on multisensory lexical processing in school-aged children","u7wty","PsyArXiv"
"2019-05-20 16:25:07.97713+00","Calculated Avoidance: Math Anxiety Predicts Math Avoidance in Effort-Based Decision-Making","afj37","PsyArXiv"
"2019-05-23 15:07:35.622801+00","Counter-Argument Self-Efficacy Predicts Choice of Belief-Defense Strategies","jgv5w","Open Science Framework"
"2019-05-20 16:06:48.896078+00","Piloting a ‘Timeline of Crisis Tool’ with service users on admission to an acute psychiatric ward","zr68w","PsyArXiv"
"2019-05-23 15:32:44.618125+00","International Economics","cksn3","INA-Rxiv"
"2019-05-20 15:59:53.623733+00","Hand preference and Mathematical Learning Difficulties: New data from Greece, the United Kingdom, and Germany and two meta-analyses of the literature","pc6zh","PsyArXiv"
"2019-05-20 15:36:30.565623+00","The effect of siblings on language development as a function of age difference and sex","fgpmd","PsyArXiv"
"2019-05-21 00:52:43.445769+00","Glutaraldehyde: A review of its fixative effects on nucleic acids, proteins, lipids, and carbohydrates","8zd4e","Open Science Framework"
"2019-05-23 15:44:02.143012+00","International Economics: Fair Trade, Benefits, and Innovation from Global Competition","cqw92","INA-Rxiv"
"2019-05-23 15:58:24.814047+00","International Economics: Trade in Global Competition","sb9ud","INA-Rxiv"
"2019-05-20 14:28:02.909169+00","Adult age differences in refreshing and elaboration and their consequences for working memory and long-term memory","q76fy","PsyArXiv"
"2019-05-23 16:00:51.810348+00","Mengkaji Karakteristik Pemakai Teknologi Pengolahan Air Bersih di Indonesia","z6xnb","INA-Rxiv"
"2019-05-24 16:37:37.089042+00","CRAN R Package ‘bayesvl: Visually Learning the Graphical Structure of Bayesian Networks and Performing MCMC with 'Stan''","94fh6","Open Science Framework"
"2019-05-25 14:18:43.898759+00","Wave function the space-time","b7wgp","Open Science Framework"
"2019-05-27 15:45:25.187776+00","Administrasi Sarana Prasarana Pendidikan Di Sekolah","4dn3u","INA-Rxiv"
"2019-05-27 05:50:24.935332+00","KELOMPOK 3","dxh6b","INA-Rxiv"
"2019-05-27 10:42:45.95874+00","KELOMPOK 9","tmvg9","INA-Rxiv"
"2019-05-27 10:20:18.917702+00","Degrees of Corroboration: An Antidote to the Replication Crisis","fdkqg","PsyArXiv"
"2019-05-27 14:47:52.160991+00","Fouling Mitigation in Tubular Membranes by 3D-printed Twisted Tape Turbulence Promoters","c267u","engrXiv"
"2019-05-23 15:38:36.095762+00","Le Dréan et al  Neonatal consumption of oligosaccharides deeply increases L-cells density without any significant consequence on adult eating behavior","yt378","NutriXiv"
"2019-05-14 20:41:48.134057+00","Crowdsourcing effective educational interventions","edk3m","PsyArXiv"
"2019-05-21 03:27:34.101912+00","PERSEPSI DAN PERILAKU KONSUMEN  TERHADAP ONLINE SHOPPING","vn6ut","INA-Rxiv"
"2019-05-23 15:50:50.543973+00","International Economics","tebjh","INA-Rxiv"
"2019-05-21 03:33:50.863858+00","ADMINISTRASI PESERTA DIDIK","4xasv","Open Science Framework"
"2019-05-23 16:04:32.348116+00","Final Exam (Ghea Ekasiwi)","u6gxd","INA-Rxiv"
"2019-05-21 03:46:06.344708+00","Pentingnya Mempelajari Administrasi dan Supervisi Pendidikan","wc76d","INA-Rxiv"
"2019-05-21 03:54:07.095964+00","Supervisi Pendidikan","zjguf","INA-Rxiv"
"2019-05-21 04:36:51.490717+00","Pandangan Nong Darol Mahmada terhadap Pemakaian Jilbab","cjd2t","INA-Rxiv"
"2019-05-21 04:37:16.156517+00","Administrasi hubungan sekolah dengan masyarakat","bc48m","INA-Rxiv"
"2019-05-21 04:46:25.631409+00","How to Teach and Do Research in Physics Education?","zhekx","Open Science Framework"
"2019-05-17 03:18:08.112368+00","DISKURSUS PEMILIHAN GUBERNUR DI MEDIA LOKAL","2paj8","Open Science Framework"
"2019-05-21 04:56:38.524304+00","Teknik Tafsir Pemakaian Kutipan Perjanjian Lama dalam Perjanjian Baru","yfjt8","INA-Rxiv"
"2019-05-21 06:22:15.013986+00","Inovasi dan Human Capital","ajh3y","INA-Rxiv"
"2019-05-21 06:38:51.839698+00","From Letters to Loyalty: Aline la Despenser and the Meaning(s) of a Noblewoman’s Correspondence in Thirteenth-Century England","mfjdz","BodoArXiv"
"2019-05-21 07:06:18.788635+00","Peningkatan Layanan Supervisi Untuk Meningkatkan Kinerja Guru di Sekolah","gx6aj","INA-Rxiv"
"2019-05-21 07:08:43.508995+00","Pengolahan dan Pemodelan Data Gravity pada Area Gunung Pandan, Jawa Timur","r4d3p","INA-Rxiv"
"2019-05-21 07:11:13.43486+00","Studi Arkeoastronomi: Kesegarisan Candi-Candi di Jawa Tengah dengan Objek Langit","9stxm","INA-Rxiv"
"2019-05-21 07:13:07.422854+00","Perhitungan Numerik Propagasi Soliton Gelap (Dark Soliton) pada Serat Optik dengan Pengaruh Suku Dispersi Orde Tiga","3g8ce","INA-Rxiv"
"2019-05-21 08:36:21.164469+00","Supervisi pendidikan","a6rpx","INA-Rxiv"
"2019-05-20 15:20:57.99661+00","Alcohol Belongs Here: Assessing Alcohol-related Inhibitory Control with a Contextual Go/No-Go Task","ckb97","PsyArXiv"
"2019-05-15 15:11:09.797106+00","Converting time-temperature modelling into exhumation rates, eroded material fluxes and source- and-sink maps: A semi-quantitative analysis of vertical movements in Morocco and surroundings","4wjmh","EarthArXiv"
"2019-05-21 11:59:54.688236+00","Altering the availability and position of products within physical micro-environments: A conceptual review and framework","qzb3w","PsyArXiv"
"2019-05-21 12:18:15.961077+00","Growth and Annealing Properties of Carbon Nanofibers on Carbon Black by Using Chemical Vapour Deposition","tqu5g","ECSarXiv"
"2019-05-23 16:39:00.757471+00","Final Exam","xezjh","INA-Rxiv"
"2019-05-21 12:18:37.818441+00","High-Performance Nafion Membrane Modified Using a 1,2,4-Triazole Derivative","3wzse","ECSarXiv"
"2019-05-24 16:39:53.880469+00","رِسَالَةٌ الْفِطْرِيَّة لفِطْرِيَّة حَنِيْفَةُ الزَّهْرَاءِ","9evqt","Open Science Framework"
"2019-05-21 12:48:46.602184+00","STEM Gender Gap and the Leaky Pipeline: A-levels to University","wefbd","SocArXiv"
"2019-05-21 12:50:22.625295+00","Grammatical Aspects in Tenseless Theory of Sinhala","txqac","SocArXiv"
"2019-05-01 00:03:34.311571+00","GC/MS characterization of volatile components of hydrocolloids from Irvingia gabonensis and Mucuna sloanei seeds","6kw2h","Arabixiv"
"2019-05-01 00:05:04.471887+00","Degradation biokinetics of used and fresh lube oils in contaminated soil environment","3jmc8","Arabixiv"
"2019-05-01 00:05:29.219554+00","Simple synthesis of some new heterocyclic derivatives incorporation coumarin -2-one moiety","ar5mw","Arabixiv"
"2019-05-01 00:05:44.91007+00","Determination of preferred conformations of benzenetricarboxylic acids by means of genetic algorithm MNC for multi-modal search","p87s9","Arabixiv"
"2019-05-01 00:06:07.292423+00","A novel and efficient method for the synthesis of 6-amino-pyrimidine-2(1H)-thiones derivatives, pyrido [2,3-d] pyrimidine-2(1H)-thiones derivatives and their glycosides","2zy8q","Arabixiv"
"2019-05-01 00:06:41.161071+00","Metals in green coffee beans from major coffee-growing regions of Ethiopia","b4det","Arabixiv"
